customer_id,signup_date,age,province,segment,acquisition_channel
63,2020-04-18,64,SK,Individual,Referral
64,2020-03-12,24,MB,Enterprise,Sales Team
65,2022-10-24,61,QC,Enterprise,Referral
66,2020-12-20,25,NB,Individual,Sales Team
67,2021-03-25,64,NS,Individual,Organic
68,2020-05-03,52,BC,Enterprise,Sales Team
69,2020-12-27,31,SK,Small Business,Sales Team
70,2020-06-05,34,NB,Enterprise,Organic
71,2021-08-13,53,BC,Individual,Sales Team
72,2021-03-07,67,SK,Individual,Referral
73,2021-12-05,57,QC,Individual,Sales Team
74,2022-09-14,21,AB,Small Business,Referral
75,2021-07-20,19,MB,Small Business,Referral
76,2020-09-09,23,BC,Small Business,Organic
77,2021-07-29,71,ON,Enterprise,Organic
78,2021-07-05,59,BC,Individual,Referral
79,2020-11-21,21,NS,Small Business,Sales Team
80,2022-11-07,71,QC,Small Business,Organic
81,2021-02-18,46,AB,Small Business,Organic
82,2022-12-26,35,NS,Small Business,Sales Team
83,2022-11-27,43,MB,Small Business,Sales Team
84,2022-10-03,61,AB,Individual,Paid Ads
85,2020-04-20,51,QC,Individual,Organic
86,2022-08-04,27,SK,Individual,Organic
87,2022-09-13,53,NB,Enterprise,Referral
88,2020-09-22,31,ON,Enterprise,Organic
89,2022-04-09,48,AB,Individual,Organic
90,2021-01-15,65,QC,Small Business,Organic
91,2020-09-10,32,QC,Enterprise,Organic
92,2021-12-19,25,BC,Small Business,Paid Ads
93,2021-08-12,31,MB,Individual,Paid Ads
94,2021-02-23,40,QC,Small Business,Sales Team
95,2022-09-21,74,AB,Enterprise,Paid Ads
96,2022-12-05,57,NB,Small Business,Organic
97,2022-05-15,38,ON,Small Business,Organic
98,2020-12-07,33,BC,Enterprise,Referral
99,2022-11-29,62,MB,Individual,Paid Ads
100,2021-05-18,35,BC,Individual,Paid Ads
101,2020-03-27,64,MB,Individual,Sales Team
102,2020-12-21,70,MB,Enterprise,Organic
103,2020-02-19,41,MB,Enterprise,Organic
104,2021-05-05,43,AB,Small Business,Organic
105,2021-09-15,42,BC,Enterprise,Referral
106,2021-02-19,62,MB,Small Business,Referral
107,2020-04-12,58,SK,Individual,Paid Ads
108,2020-11-23,46,NB,Small Business,Organic
109,2022-05-31,32,BC,Enterprise,Sales Team
110,2021-05-03,62,MB,Individual,Organic
111,2020-11-26,18,SK,Individual,Paid Ads
112,2022-10-15,42,AB,Enterprise,Sales Team
113,2022-02-14,24,NS,Enterprise,Organic
114,2021-09-06,26,BC,Individual,Referral
115,2022-09-25,41,ON,Small Business,Referral
116,2021-12-13,18,NS,Individual,Organic
117,2020-08-09,61,MB,Small Business,Organic
118,2021-02-15,25,SK,Individual,Referral
119,2020-08-04,41,BC,Small Business,Sales Team
120,2021-01-18,28,AB,Individual,Referral
121,2022-05-22,68,AB,Small Business,Organic
122,2022-04-17,34,AB,Enterprise,Paid Ads
123,2021-02-12,25,NS,Enterprise,Referral
124,2022-06-27,52,MB,Individual,Organic
125,2021-10-27,52,NS,Individual,Sales Team
126,2022-06-25,50,QC,Individual,Sales Team
127,2021-09-12,22,SK,Small Business,Referral
128,2021-07-16,59,QC,Individual,Referral
129,2020-12-06,56,NS,Small Business,Paid Ads
130,2020-08-02,58,BC,Small Business,Paid Ads
131,2022-03-02,45,NS,Enterprise,Paid Ads
132,2022-02-05,24,ON,Individual,Paid Ads
133,2020-05-21,26,AB,Enterprise,Paid Ads
134,2020-03-14,25,ON,Individual,Sales Team
135,2020-06-19,29,SK,Enterprise,Paid Ads
136,2020-08-25,51,NS,Enterprise,Organic
137,2022-09-01,50,NS,Enterprise,Referral
138,2020-09-05,65,MB,Individual,Sales Team
139,2022-11-23,72,ON,Enterprise,Referral
140,2021-10-17,40,SK,Small Business,Organic
141,2022-07-15,41,SK,Enterprise,Paid Ads
142,2020-04-08,54,BC,Enterprise,Paid Ads
143,2021-08-20,52,MB,Enterprise,Sales Team
144,2021-08-15,61,SK,Small Business,Paid Ads
145,2022-07-14,57,AB,Individual,Sales Team
146,2021-12-28,39,NS,Enterprise,Referral
147,2022-04-01,44,MB,Small Business,Organic
148,2021-01-25,52,MB,Small Business,Referral
149,2022-05-09,18,NS,Enterprise,Paid Ads
150,2020-01-18,52,NB,Small Business,Sales Team
151,2022-11-22,54,QC,Enterprise,Sales Team
152,2020-06-26,64,AB,Enterprise,Organic
153,2022-11-25,31,MB,Enterprise,Paid Ads
154,2022-04-14,20,BC,Individual,Paid Ads
155,2021-02-18,18,QC,Individual,Referral
156,2022-09-22,22,ON,Individual,Referral
157,2021-06-12,43,NB,Enterprise,Organic
158,2020-06-22,72,NB,Small Business,Referral
159,2021-03-31,31,NS,Small Business,Sales Team
160,2021-11-06,56,QC,Individual,Organic
161,2020-09-02,44,BC,Small Business,Referral
162,2021-12-05,26,AB,Enterprise,Sales Team
163,2020-01-06,32,ON,Enterprise,Referral
164,2021-02-13,32,BC,Small Business,Referral
165,2022-02-16,43,NB,Enterprise,Paid Ads
166,2020-10-04,59,NB,Enterprise,Sales Team
167,2022-02-27,30,NB,Individual,Sales Team
168,2020-06-14,68,NB,Small Business,Referral
169,2022-08-29,49,MB,Enterprise,Sales Team
170,2021-04-08,56,QC,Small Business,Sales Team
171,2022-09-19,66,BC,Enterprise,Paid Ads
172,2022-02-27,69,QC,Small Business,Paid Ads
173,2022-08-04,49,SK,Enterprise,Organic
174,2020-11-04,21,AB,Individual,Referral
175,2020-08-25,47,NS,Enterprise,Referral
176,2021-08-03,54,QC,Individual,Sales Team
177,2020-09-07,40,NS,Small Business,Sales Team
178,2022-04-17,56,NS,Individual,Referral
179,2022-04-03,62,NS,Small Business,Organic
180,2020-01-01,32,NS,Small Business,Organic
181,2022-07-19,60,SK,Small Business,Sales Team
182,2021-05-18,46,NS,Enterprise,Referral
183,2022-01-29,53,NB,Individual,Paid Ads
184,2020-01-31,30,NS,Small Business,Organic
185,2020-06-22,49,NS,Small Business,Sales Team
186,2021-07-17,24,AB,Small Business,Referral
187,2021-04-22,68,ON,Small Business,Organic
188,2021-01-06,39,BC,Enterprise,Sales Team
189,2020-03-30,45,AB,Small Business,Referral
190,2021-01-09,19,ON,Small Business,Sales Team
191,2022-05-31,59,SK,Individual,Sales Team
192,2020-05-02,62,SK,Small Business,Sales Team
193,2020-05-13,74,MB,Small Business,Paid Ads
194,2022-01-24,70,BC,Small Business,Organic
195,2020-04-17,23,ON,Small Business,Referral
196,2022-04-07,45,BC,Enterprise,Organic
197,2020-07-14,45,ON,Individual,Referral
198,2020-07-18,61,ON,Enterprise,Referral
199,2022-10-21,61,QC,Individual,Sales Team
200,2022-01-08,37,BC,Enterprise,Referral
201,2022-05-04,47,NB,Enterprise,Paid Ads
202,2020-09-13,28,SK,Individual,Organic
203,2021-02-15,72,AB,Small Business,Organic
204,2022-03-30,45,ON,Small Business,Sales Team
205,2022-07-31,42,NS,Enterprise,Referral
206,2021-10-19,56,BC,Enterprise,Referral
207,2020-11-25,50,BC,Enterprise,Paid Ads
208,2022-04-17,18,BC,Enterprise,Organic
209,2022-12-07,74,SK,Enterprise,Sales Team
210,2020-11-08,44,SK,Individual,Paid Ads
211,2021-04-29,74,ON,Small Business,Sales Team
212,2021-09-11,69,BC,Small Business,Paid Ads
213,2022-11-09,30,NB,Enterprise,Referral
214,2022-10-06,58,NS,Individual,Paid Ads
215,2021-08-03,20,NB,Small Business,Sales Team
216,2021-11-11,56,MB,Small Business,Referral
217,2022-03-15,23,BC,Small Business,Sales Team
218,2021-12-02,25,QC,Small Business,Sales Team
219,2020-07-06,44,SK,Individual,Sales Team
220,2021-01-20,26,SK,Individual,Sales Team
221,2020-12-15,54,QC,Small Business,Paid Ads
222,2020-04-09,50,SK,Small Business,Paid Ads
223,2021-06-09,68,ON,Enterprise,Referral
224,2020-02-02,59,BC,Individual,Sales Team
225,2022-07-02,61,NB,Enterprise,Referral
226,2022-05-10,41,NB,Enterprise,Sales Team
227,2020-12-23,32,NB,Individual,Organic
228,2022-07-03,71,MB,Individual,Sales Team
229,2020-12-08,49,QC,Small Business,Paid Ads
230,2020-01-12,49,NB,Enterprise,Paid Ads
231,2020-04-20,41,NS,Enterprise,Paid Ads
232,2022-09-07,58,SK,Enterprise,Sales Team
233,2020-04-01,69,MB,Small Business,Paid Ads
234,2020-12-21,66,QC,Individual,Referral
235,2020-04-14,66,SK,Individual,Referral
236,2020-02-18,69,QC,Individual,Sales Team
237,2021-05-28,29,MB,Enterprise,Paid Ads
238,2020-04-20,56,BC,Individual,Paid Ads
239,2022-03-09,19,QC,Small Business,Referral
240,2021-01-04,20,MB,Individual,Referral
241,2021-03-08,66,MB,Individual,Organic
242,2022-11-05,54,MB,Enterprise,Referral
243,2022-01-24,66,NB,Individual,Organic
244,2020-11-28,73,MB,Small Business,Sales Team
245,2022-04-17,34,NB,Small Business,Referral
246,2020-07-24,66,ON,Small Business,Sales Team
247,2022-06-06,19,BC,Individual,Sales Team
248,2022-06-14,19,NB,Individual,Organic
249,2022-01-04,45,AB,Individual,Paid Ads
250,2021-01-12,71,BC,Individual,Organic
251,2022-01-04,40,NS,Enterprise,Referral
252,2021-09-24,54,NS,Small Business,Sales Team
253,2020-10-22,49,MB,Enterprise,Sales Team
254,2020-05-26,50,MB,Enterprise,Organic
255,2020-05-30,18,BC,Individual,Referral
256,2022-10-20,36,MB,Enterprise,Organic
257,2021-10-31,19,AB,Individual,Referral
258,2021-07-04,70,BC,Individual,Organic
259,2021-10-20,61,NS,Small Business,Sales Team
260,2021-09-30,43,MB,Individual,Referral
261,2021-12-26,49,MB,Enterprise,Paid Ads
262,2020-03-25,23,NB,Individual,Referral
263,2022-11-12,49,MB,Enterprise,Referral
264,2022-10-12,72,NS,Individual,Referral
265,2022-09-30,21,AB,Small Business,Referral
266,2020-06-01,72,BC,Individual,Referral
267,2020-04-04,28,MB,Enterprise,Paid Ads
268,2021-09-17,73,NB,Individual,Sales Team
269,2021-06-11,34,MB,Enterprise,Sales Team
270,2020-06-18,55,MB,Enterprise,Sales Team
271,2021-01-21,41,NB,Individual,Organic
272,2020-10-24,22,NS,Enterprise,Paid Ads
273,2020-10-22,69,MB,Individual,Organic
274,2022-04-13,51,QC,Enterprise,Organic
275,2021-11-27,23,MB,Enterprise,Organic
276,2020-08-05,39,AB,Small Business,Sales Team
277,2021-10-17,28,MB,Individual,Sales Team
278,2020-10-12,65,NB,Individual,Sales Team
279,2021-03-08,33,SK,Small Business,Paid Ads
280,2021-12-19,50,SK,Enterprise,Organic
281,2021-01-23,26,AB,Small Business,Sales Team
282,2020-04-27,23,NB,Small Business,Sales Team
283,2021-11-19,33,ON,Small Business,Organic
284,2022-05-04,46,SK,Small Business,Paid Ads
285,2020-06-01,20,BC,Small Business,Organic
286,2020-03-19,37,NB,Small Business,Organic
287,2022-10-10,53,QC,Enterprise,Paid Ads
288,2022-04-19,36,NB,Enterprise,Sales Team
289,2020-01-23,43,ON,Individual,Paid Ads
290,2020-05-24,20,AB,Small Business,Sales Team
291,2021-01-02,36,NB,Individual,Organic
292,2020-09-15,37,QC,Enterprise,Referral
293,2021-09-23,49,MB,Enterprise,Organic
294,2022-01-24,24,NS,Individual,Referral
295,2022-01-17,69,BC,Small Business,Organic
296,2020-11-28,58,AB,Small Business,Paid Ads
297,2021-09-14,50,MB,Small Business,Sales Team
298,2020-04-01,57,NB,Individual,Sales Team
299,2020-09-12,56,AB,Small Business,Referral
300,2021-08-11,35,AB,Individual,Paid Ads
301,2020-01-04,57,NS,Small Business,Paid Ads
302,2021-08-29,18,ON,Small Business,Paid Ads
303,2021-02-15,28,NB,Individual,Sales Team
304,2021-12-07,45,NB,Small Business,Paid Ads
305,2021-03-19,74,NS,Small Business,Paid Ads
306,2021-10-19,42,QC,Enterprise,Referral
307,2022-12-18,67,NS,Individual,Sales Team
308,2022-05-13,40,ON,Small Business,Sales Team
309,2022-10-25,48,NS,Small Business,Referral
310,2022-01-26,47,NB,Individual,Referral
311,2020-08-28,59,SK,Individual,Sales Team
312,2020-10-21,52,BC,Enterprise,Sales Team
313,2021-04-05,24,ON,Enterprise,Referral
314,2020-12-04,33,NS,Enterprise,Referral
315,2020-03-31,43,BC,Small Business,Paid Ads
316,2022-06-18,65,SK,Enterprise,Sales Team
317,2022-04-22,74,BC,Small Business,Sales Team
318,2020-04-04,69,SK,Enterprise,Sales Team
319,2021-05-02,66,ON,Enterprise,Organic
320,2020-03-29,19,QC,Enterprise,Paid Ads
321,2020-03-18,18,QC,Enterprise,Organic
322,2022-06-26,65,NS,Individual,Organic
323,2022-01-10,29,NB,Individual,Paid Ads
324,2022-02-20,22,ON,Individual,Paid Ads
325,2022-04-05,54,ON,Small Business,Paid Ads
326,2020-09-01,49,SK,Small Business,Referral
327,2020-03-29,72,QC,Enterprise,Sales Team
328,2022-02-27,26,AB,Individual,Referral
329,2020-05-04,58,BC,Enterprise,Sales Team
330,2020-10-15,52,QC,Small Business,Referral
331,2020-04-16,36,QC,Small Business,Paid Ads
332,2022-07-13,65,NB,Small Business,Organic
333,2020-04-15,33,NB,Small Business,Referral
334,2022-11-14,20,BC,Small Business,Paid Ads
335,2020-12-31,37,MB,Enterprise,Sales Team
336,2021-09-19,41,MB,Small Business,Paid Ads
337,2020-07-05,71,QC,Small Business,Sales Team
338,2022-06-03,73,BC,Individual,Sales Team
339,2021-01-17,50,SK,Enterprise,Paid Ads
340,2022-06-18,41,MB,Individual,Sales Team
341,2022-07-12,69,MB,Individual,Organic
342,2020-03-02,28,NB,Small Business,Referral
343,2022-08-20,66,SK,Individual,Referral
344,2020-05-07,25,MB,Enterprise,Referral
345,2021-10-13,53,BC,Enterprise,Organic
346,2022-10-18,55,MB,Small Business,Organic
347,2022-06-25,57,SK,Enterprise,Referral
348,2022-05-28,37,BC,Small Business,Paid Ads
349,2022-03-23,52,NS,Individual,Referral
350,2021-05-06,65,AB,Enterprise,Paid Ads
351,2021-02-09,42,MB,Individual,Paid Ads
352,2020-11-13,52,NB,Small Business,Paid Ads
353,2022-11-06,42,BC,Small Business,Organic
354,2021-05-03,46,AB,Individual,Sales Team
355,2021-01-05,35,SK,Individual,Sales Team
356,2021-02-16,63,ON,Small Business,Organic
357,2021-09-06,35,NB,Small Business,Paid Ads
358,2020-07-22,19,NS,Enterprise,Paid Ads
359,2022-11-09,71,BC,Enterprise,Referral
360,2022-09-29,52,NB,Individual,Paid Ads
361,2021-04-11,33,QC,Enterprise,Organic
362,2021-12-11,58,NB,Enterprise,Paid Ads
363,2021-05-06,53,NS,Individual,Referral
364,2020-04-22,50,ON,Individual,Paid Ads
365,2020-01-15,21,NB,Individual,Organic
366,2021-12-12,50,QC,Enterprise,Referral
367,2022-08-22,31,NS,Small Business,Paid Ads
368,2022-05-24,38,NS,Enterprise,Referral
369,2020-06-04,65,NS,Enterprise,Organic
370,2020-04-23,37,NB,Enterprise,Sales Team
371,2022-04-15,73,MB,Individual,Paid Ads
372,2020-11-27,25,QC,Small Business,Sales Team
373,2022-02-24,24,QC,Small Business,Organic
374,2021-02-15,20,SK,Enterprise,Paid Ads
375,2020-07-24,34,ON,Small Business,Paid Ads
376,2021-06-26,50,QC,Individual,Sales Team
377,2020-04-16,65,BC,Enterprise,Referral
378,2021-01-14,29,ON,Individual,Paid Ads
379,2021-07-28,68,QC,Individual,Referral
380,2021-03-18,39,BC,Enterprise,Referral
381,2020-09-02,72,QC,Individual,Paid Ads
382,2021-11-11,39,AB,Enterprise,Organic
383,2022-04-23,63,MB,Individual,Referral
384,2022-12-28,47,MB,Individual,Organic
385,2021-04-14,55,ON,Individual,Organic
386,2022-08-08,55,SK,Individual,Paid Ads
387,2022-10-12,62,ON,Individual,Paid Ads
388,2022-04-01,68,ON,Individual,Sales Team
389,2020-01-13,71,BC,Enterprise,Organic
390,2022-11-03,25,NB,Small Business,Paid Ads
391,2022-05-11,44,BC,Small Business,Referral
392,2021-04-10,44,ON,Enterprise,Paid Ads
393,2022-10-27,51,NB,Enterprise,Organic
394,2020-06-09,38,ON,Small Business,Sales Team
395,2020-07-27,47,NS,Enterprise,Organic
396,2021-02-14,50,NB,Enterprise,Sales Team
397,2020-06-28,45,BC,Individual,Paid Ads
398,2020-06-15,64,AB,Individual,Referral
399,2022-05-09,50,MB,Enterprise,Paid Ads
400,2020-08-29,22,NS,Enterprise,Paid Ads
401,2021-02-27,65,NB,Enterprise,Sales Team
402,2021-03-13,36,BC,Enterprise,Organic
403,2022-07-28,21,QC,Small Business,Sales Team
404,2020-11-23,52,QC,Small Business,Paid Ads
405,2021-06-16,66,NB,Small Business,Sales Team
406,2020-11-12,34,BC,Small Business,Sales Team
407,2022-12-03,61,SK,Enterprise,Paid Ads
408,2022-09-12,45,SK,Individual,Sales Team
409,2021-02-14,47,BC,Individual,Organic
410,2022-02-24,46,BC,Small Business,Organic
411,2022-01-28,63,SK,Individual,Organic
412,2021-01-25,70,SK,Enterprise,Organic
413,2020-03-19,23,NS,Small Business,Sales Team
414,2020-05-23,52,ON,Small Business,Paid Ads
415,2022-09-12,58,SK,Individual,Referral
416,2021-10-20,54,AB,Enterprise,Sales Team
417,2021-03-05,41,QC,Individual,Paid Ads
418,2020-03-09,46,SK,Individual,Paid Ads
419,2020-01-06,66,QC,Small Business,Organic
420,2021-06-02,63,MB,Individual,Referral
421,2020-07-22,70,MB,Enterprise,Paid Ads
422,2022-09-16,48,SK,Small Business,Organic
423,2021-02-10,52,AB,Individual,Sales Team
424,2020-09-08,50,BC,Individual,Organic
425,2021-11-17,69,BC,Enterprise,Referral
426,2022-05-07,38,NS,Small Business,Sales Team
427,2021-10-26,49,SK,Individual,Paid Ads
428,2022-05-21,40,MB,Enterprise,Paid Ads
429,2020-01-16,50,BC,Individual,Referral
430,2020-06-22,20,AB,Enterprise,Organic
431,2020-04-26,35,BC,Small Business,Sales Team
432,2022-12-09,42,NS,Small Business,Sales Team
433,2020-08-19,59,NS,Small Business,Referral
434,2022-04-27,48,BC,Small Business,Sales Team
435,2020-02-25,71,BC,Small Business,Sales Team
436,2021-07-27,20,MB,Individual,Referral
437,2022-06-23,57,NS,Enterprise,Organic
438,2022-05-08,63,ON,Individual,Paid Ads
439,2020-08-18,41,QC,Individual,Paid Ads
440,2021-10-29,67,MB,Small Business,Organic
441,2020-07-16,49,ON,Small Business,Sales Team
442,2020-03-05,64,AB,Individual,Sales Team
443,2021-04-23,39,QC,Enterprise,Paid Ads
444,2021-07-20,40,BC,Small Business,Organic
445,2020-03-02,19,NS,Individual,Sales Team
446,2021-07-09,44,BC,Small Business,Sales Team
447,2020-11-22,59,NS,Enterprise,Sales Team
448,2022-11-25,19,MB,Individual,Sales Team
449,2021-01-22,43,ON,Small Business,Referral
450,2022-11-02,34,NB,Enterprise,Paid Ads
451,2020-06-08,57,BC,Small Business,Organic
452,2021-07-03,50,QC,Small Business,Sales Team
453,2022-05-19,26,BC,Small Business,Paid Ads
454,2021-09-23,60,SK,Individual,Paid Ads
455,2022-08-22,71,AB,Individual,Organic
456,2020-08-28,65,QC,Small Business,Paid Ads
457,2021-01-02,56,AB,Individual,Organic
458,2020-09-09,46,AB,Small Business,Referral
459,2020-10-02,59,AB,Enterprise,Referral
460,2021-10-02,72,BC,Individual,Sales Team
461,2020-02-08,43,NB,Enterprise,Sales Team
462,2020-10-05,52,SK,Enterprise,Paid Ads
463,2021-05-31,67,AB,Small Business,Organic
464,2021-10-01,42,NB,Small Business,Paid Ads
465,2022-11-06,41,MB,Enterprise,Organic
466,2021-01-20,30,SK,Enterprise,Organic
467,2021-02-18,24,MB,Small Business,Sales Team
468,2020-09-04,74,ON,Individual,Paid Ads
469,2022-12-25,53,MB,Individual,Organic
470,2020-06-16,62,NS,Small Business,Organic
471,2021-08-17,37,NB,Enterprise,Referral
472,2020-03-01,18,SK,Enterprise,Sales Team
473,2022-01-01,25,AB,Individual,Sales Team
474,2020-12-11,63,BC,Small Business,Organic
475,2020-11-06,33,AB,Individual,Referral
476,2021-12-16,31,NB,Small Business,Referral
477,2021-06-27,29,SK,Small Business,Paid Ads
478,2021-04-19,68,NS,Small Business,Paid Ads
479,2020-12-19,40,ON,Enterprise,Paid Ads
480,2020-12-12,32,BC,Small Business,Organic
481,2020-02-06,45,NS,Small Business,Paid Ads
482,2022-10-22,51,AB,Small Business,Organic
483,2020-10-27,19,AB,Small Business,Paid Ads
484,2021-09-10,49,NS,Individual,Organic
485,2021-05-24,40,MB,Enterprise,Sales Team
486,2021-03-08,39,SK,Individual,Organic
487,2020-04-17,68,NS,Enterprise,Paid Ads
488,2021-03-09,42,ON,Small Business,Paid Ads
489,2021-06-29,39,AB,Individual,Paid Ads
490,2022-09-23,39,NB,Individual,Referral
491,2022-03-02,66,AB,Individual,Organic
492,2021-09-12,69,MB,Individual,Organic
493,2022-11-21,59,SK,Enterprise,Referral
494,2022-04-12,23,NS,Individual,Referral
495,2021-05-29,32,AB,Enterprise,Referral
496,2020-02-12,71,NB,Individual,Sales Team
497,2020-06-28,60,SK,Enterprise,Referral
498,2021-02-09,54,NB,Enterprise,Paid Ads
499,2020-10-04,50,NB,Individual,Referral
500,2022-06-20,25,MB,Small Business,Referral
501,2021-02-16,70,SK,Enterprise,Sales Team
502,2020-02-29,61,NB,Small Business,Sales Team
503,2020-06-17,61,NS,Individual,Referral
504,2022-07-15,22,AB,Small Business,Organic
505,2021-11-06,56,NB,Small Business,Organic
506,2021-06-21,21,BC,Small Business,Organic
507,2021-05-02,23,AB,Small Business,Sales Team
508,2021-11-08,62,AB,Small Business,Organic
509,2022-07-30,49,QC,Small Business,Paid Ads
510,2022-03-05,69,ON,Small Business,Organic
511,2020-06-28,47,NS,Enterprise,Paid Ads
512,2021-08-21,64,QC,Small Business,Organic
513,2022-06-14,52,SK,Individual,Organic
514,2020-10-22,72,SK,Individual,Paid Ads
515,2021-01-30,57,AB,Individual,Organic
516,2020-03-09,69,MB,Small Business,Referral
517,2021-11-08,33,NB,Small Business,Organic
518,2020-01-03,30,BC,Individual,Paid Ads
519,2022-03-18,67,QC,Individual,Sales Team
520,2022-04-16,59,BC,Small Business,Referral
521,2022-12-02,47,MB,Individual,Organic
522,2022-11-07,36,QC,Small Business,Sales Team
523,2020-11-02,34,BC,Individual,Sales Team
524,2021-07-19,73,ON,Enterprise,Referral
525,2021-10-31,36,AB,Small Business,Sales Team
526,2020-04-18,45,ON,Enterprise,Paid Ads
527,2022-10-28,72,QC,Enterprise,Sales Team
528,2021-05-27,43,AB,Enterprise,Organic
529,2022-08-26,54,SK,Individual,Organic
530,2021-05-02,43,NS,Small Business,Organic
531,2022-10-27,70,NS,Small Business,Paid Ads
532,2020-07-12,40,ON,Small Business,Organic
533,2021-04-11,26,SK,Individual,Organic
534,2022-02-26,29,SK,Individual,Organic
535,2021-04-25,70,SK,Enterprise,Paid Ads
536,2022-11-01,18,AB,Enterprise,Sales Team
537,2021-09-26,18,NB,Enterprise,Referral
538,2021-05-21,64,AB,Individual,Sales Team
539,2021-09-17,51,ON,Small Business,Referral
540,2022-12-19,49,ON,Individual,Organic
541,2021-04-04,71,SK,Small Business,Sales Team
542,2022-05-11,65,NB,Small Business,Organic
543,2020-07-16,42,QC,Small Business,Paid Ads
544,2020-10-25,57,ON,Enterprise,Paid Ads
545,2021-10-15,62,MB,Individual,Paid Ads
546,2022-10-29,70,NS,Small Business,Sales Team
547,2021-08-11,18,NS,Small Business,Referral
548,2022-11-18,33,NB,Enterprise,Sales Team
549,2020-09-27,56,SK,Enterprise,Paid Ads
550,2022-08-14,22,BC,Enterprise,Sales Team
551,2022-06-03,39,BC,Small Business,Referral
552,2021-04-12,46,MB,Small Business,Organic
553,2021-09-22,72,BC,Small Business,Paid Ads
554,2022-05-01,20,MB,Small Business,Sales Team
555,2020-01-01,29,AB,Enterprise,Sales Team
556,2021-04-17,43,SK,Small Business,Organic
557,2021-03-21,33,SK,Enterprise,Sales Team
558,2020-11-22,68,MB,Enterprise,Organic
559,2021-10-29,54,BC,Enterprise,Sales Team
560,2022-06-19,39,SK,Enterprise,Referral
561,2022-07-31,74,ON,Individual,Sales Team
562,2022-10-14,46,ON,Individual,Organic
563,2021-05-15,31,QC,Enterprise,Paid Ads
564,2021-12-23,45,SK,Small Business,Organic
565,2021-11-17,22,AB,Enterprise,Sales Team
566,2021-11-17,64,SK,Small Business,Sales Team
567,2022-11-15,66,BC,Enterprise,Referral
568,2020-11-27,47,SK,Small Business,Paid Ads
569,2022-03-05,63,MB,Individual,Organic
570,2022-01-05,69,ON,Enterprise,Referral
571,2020-09-20,22,NB,Enterprise,Sales Team
572,2022-10-20,29,BC,Small Business,Paid Ads
573,2020-05-11,33,NB,Individual,Paid Ads
574,2021-03-16,43,NB,Individual,Organic
